Domain,Value Range,Primary Alert Query,Secondary Alert Query
TopSex.ai,$25K–$45K,"""AI adult entertainment startup"" OR ""AI-powered adult content""","""sex therapy AI platform"" OR ""sexual wellness AI startup"""
WePutt.com,$5K–$20K,"""putting technology startup"" OR ""golf training app"" OR ""indoor putting""","""golf league platform"" OR ""putting community"" OR ""golf tech funding"""
Dalai.com,$5K–$15K,"""wellness AI platform funding"" OR ""meditation technology startup""","""mindfulness app acquires"" OR ""AI wellness coaching"" OR ""holistic health platform funding"""
buyslimmeds.com,$8K–$25K,"""compounded GLP-1 launch"" OR ""weight loss medication startup""","""semaglutide direct consumer"" OR ""GLP-1 subscription"" OR ""telehealth weight loss funding"""
LaVoiture.ai,$15K–$45K,"""AI automotive startup"" OR ""autonomous vehicle company launch""","""French AI mobility"" OR ""European auto tech funding"" OR ""connected car AI"""
KnowLaw.ai,$15K–$40K,"""AI legal startup"" OR ""legal technology platform funding""","""AI litigation"" OR ""law firm AI initiative"" OR ""legal AI acquisition"""
HispanoAbogado.com,$8K–$25K,"""abogados AI"" OR ""Hispanic legal technology"" OR ""Latino law firm tech""","""Spanish-language legal AI"" OR ""Hispanic attorney platform"""
WhoreHouse.ai,$8K–$25K,"""virtual adult entertainment startup"" OR ""AI adult platform launch""","""creator platform adult"" OR ""AI-powered immersive adult"" OR ""interactive adult content startup"""
bestslimmeds.com,$8K–$22K,"""GLP-1 comparison platform"" OR ""weight loss medication marketplace""","""telehealth weight loss ranking"" OR ""best GLP-1"" OR ""slimming medication review"""
NoBreak.ai,$4K–$10K,"""zero downtime platform"" OR ""reliability engineering startup""","""SRE platform funding"" OR ""uptime monitoring AI"" OR ""fault-tolerant system"""
nofail.ai,$8K–$22K,"""AI reliability startup"" OR ""mission-critical AI platform"" OR ""no fail AI""","""AI infrastructure resilience"" OR ""failsafe AI"" OR ""error prevention AI"""
LAhispanic.com,$2K–$8K,"""Hispanic media Los Angeles startup"" OR ""Latino digital platform LA""","""Spanish-language news LA"" OR ""Hispanic marketing agency LA"" OR ""LA Hispanic platform"""
AIsexshops.com,$5K–$16K,"""AI-powered adult retail"" OR ""smart sex toy platform"" OR ""AI sex shop""","""AI intimate product recommendation"" OR ""adult ecommerce AI"" OR ""sex toy marketplace AI"""
Bailar.ai,$5K–$16K,"""AI dance app"" OR ""dance technology startup"" OR ""AI choreography""","""Latin dance fitness startup"" OR ""dance training AI"" OR ""baile digital platform"""
Cantar.ai,$5K–$16K,"""AI singing app"" OR ""vocal training AI"" OR ""music tech startup funding""","""karaoke AI platform"" OR ""Latin music AI"" OR ""singing technology company"""
Reir.ai,$5K–$16K,"""AI comedy platform"" OR ""entertainment AI startup"" OR ""Latin comedy streaming""","""humor AI company"" OR ""comedy content AI"" OR ""social entertainment Latino"""
Platicar.ai,$4K–$14K,"""AI conversation platform"" OR ""Spanish language learning AI""","""LatAm social AI startup"" OR ""conversational AI Spanish"" OR ""chatbot Spanish AI"""
Burdel.ai,$6K–$20K,"""LatAm adult entertainment startup"" OR ""Spanish adult AI platform""","""AI adult Spanish"" OR ""Latino adult tech company"" OR ""Spanish adult industry technology"""
PutaSexo.com,$6K–$20K,"""Spanish adult content platform"" OR ""LatAm adult startup funding""","""Hispanic adult entertainment"" OR ""Latino adult media"" OR ""Spanish adult tech"""
Puticlub.ai,$5K–$16K,"""LatAm adult social platform"" OR ""Hispanic adult entertainment AI""","""Spanish adult community"" OR ""Latino adult content platform"" OR ""AI adult club"""
Aseguranza.ai,$3K–$8K,"""insurtech AI startup Latino"" OR ""AI insurance platform Spanish""","""seguros inteligentes"" OR ""LatAm insurance technology"" OR ""Spanish insurtech"""
autopaga.com,$3K–$8K,"""car finance automation startup"" OR ""automotive fintech Latino""","""auto payment platform"" OR ""vehicle payment AI"" OR ""Latin American auto fintech"""
FuseBot.ai,$8K–$22K,"""AI workflow automation startup"" OR ""integration platform funding""","""no-code automation AI"" OR ""AI bot integration"" OR ""workflow AI company launch"""
ParetoBuddy.com,$5K–$16K,"""AI productivity optimization startup"" OR ""decision-making AI platform""","""80/20 principle AI"" OR ""business analytics optimization"" OR ""Pareto analysis tool"""
Infancia.ai,$8K–$25K,"""AI children education platform"" OR ""Spanish early education tech""","""LatAm edtech AI startup"" OR ""child development AI"" OR ""AI parenting app Spanish"""
Rushify.ai,$8K–$22K,"""rapid delivery AI startup"" OR ""logistics AI platform funding""","""last mile AI optimization"" OR ""delivery speed platform"" OR ""instant delivery startup"""
topproducts.ai,$3K–$8K,"""AI product recommendation startup"" OR ""AI review aggregation""","""product discovery AI"" OR ""AI comparison shopping"" OR ""best products AI platform"""
theaicustomeracquisition.com,$5K–$18K,"""AI customer acquisition platform"" OR ""AI marketing automation startup""","""AI lead generation"" OR ""customer acquisition AI funding"" OR ""AI growth marketing"""
payauto.ai,$6K–$18K,"""AI auto payments startup"" OR ""automated billing AI platform""","""recurring payment AI"" OR ""fintech auto pay"" OR ""subscription payment automation AI"""
paybet.ai,$5K–$15K,"""AI sports betting platform"" OR ""AI gambling technology startup""","""sportsbook AI"" OR ""betting prediction AI"" OR ""AI gambling startup funding"""
paybud.ai,$5K–$15K,"""AI budgeting app"" OR ""payment splitting startup"" OR ""fintech payment AI""","""peer-to-peer payment AI"" OR ""budget management startup"" OR ""pay buddy platform"""
paycar.ai,$5K–$15K,"""car payment AI"" OR ""vehicle financing startup"" OR ""auto loan technology""","""automotive fintech AI"" OR ""car subscription platform"" OR ""vehicle payment automation"""
paycarai.com,$5K–$12K,"""car payment AI platform"" OR ""auto loan AI startup"" OR ""vehicle finance AI""","""automotive fintech funding"" OR ""car subscription AI"" OR ""smart auto payment"""
paydeal.ai,$5K–$15K,"""deal negotiation AI"" OR ""AI contract negotiation startup"" OR ""smart deal platform""","""AI deal analysis"" OR ""automated deal platform"" OR ""deal intelligence AI"""
payquick.ai,$5K–$15K,"""instant payment AI"" OR ""fast checkout platform"" OR ""quick pay AI startup""","""one-click payment AI"" OR ""payment speed platform"" OR ""instant transaction AI"""
Putero.ai,$4K–$14K,"""LatAm male-focused platform"" OR ""Spanish adult entertainment AI""","""Latino adult brand"" OR ""AI adult male vertical"" OR ""Hispanic adult tech"""
curebyketo.com,$5K–$16K,"""therapeutic keto platform"" OR ""keto diabetes reversal startup""","""metabolic health AI"" OR ""keto clinical platform"" OR ""ketogenic therapy technology"""
amoketo.com,$5K–$16K,"""keto brand Spanish"" OR ""keto diet platform Latino"" OR ""keto Latin America""","""keto startup funding"" OR ""ketogenic lifestyle brand"" OR ""ce""keto""genica"""
tipsketo.com,$5K–$14K,"""keto tips platform"" OR ""ketogenic diet community"" OR ""keto content startup""","""keto recipe platform"" OR ""ketogenic lifestyle app"" OR ""keto coaching startup"""
bajapanza.com,$5K–$16K,"""baja de peso plataforma"" OR ""weight loss app Spanish"" OR """bajar""" panza""","""Latin America weight loss startup"" OR ""dieta digital Spanish"" OR ""salud metabolic""a startup Latino"""
cheapslimmeds.com,$6K–$18K,"""affordable weight loss medication"" OR ""cheap GLP-1"" OR ""budget semaglutide""","""discount weight loss telehealth"" OR ""low cost GLP-1"" OR ""affordable compounded medication"""
Dalai.co,$500–$2K,"""wellness startup .co"" OR ""meditation technology .co"" OR ""spiritual tech .co""","""mindfulness AI co"" OR ""holistic health .co"" OR ""wellness platform acqui""re"""
Dalai.fit,$500–$2K,"""fitness AI wellness"" OR ""wellness fitness technology startup"" OR ""fit AI platform""","""holistic fitness app"" OR ""mind body fitness AI"" OR ""wellness coaching app"""
MuyGuay.com,$500–$2K,"""muy guay marca"" OR ""Spanish lifestyle brand"" OR ""cool Spanish brand""","""Latino fashion startup"" OR ""Spanish streetwear"" OR ""muy cool platform"""
MuyLoca.com,$500–$2K,"""muy loca brand"" OR ""Spanish entertainment brand"" OR ""Latina media startup""","""Latin nightlife platform"" OR ""Spanish party brand"" OR """muy loca""" media"""
MuySabrosa.com,$500–$2K,"""muy sabrosa brand"" OR ""Latin food platform"" OR ""Spanish cooking startup""","""Latino cuisine AI"" OR ""sabrosa comida startup"" OR ""Latin food tech"""
AITopDeals.com,$500–$3K,"""AI deals platform"" OR ""AI tool directory"" OR ""AI discounts site""","""AI software marketplace"" OR ""AI tools comparison"" OR ""AI deal aggregator"""
Aquexa.com,$500–$3K,"""Aquexa startup"" OR ""AI SaaS brand launch"" OR """Aquexa""" platform""","""new AI company name"" OR ""tech startup rebrand"" OR ""AI brand identity launch"""
ExaROI.com,$100–$500,"""ROI analytics platform"" OR ""marketing ROI startup"" OR """Exa""" ROI tool""","""ROI measurement AI"" OR ""analytics optimization platform"" OR ""ROI calculator startup"""
ROIexa.com,$500–$3K,"""ROI analytics AI"" OR ""ROI optimization platform"" OR ""return on investment AI""","""ROI tracking startup"" OR """ROIexa""" platform"" OR ""marketing analytics ROI AI"""
Puticlub.online,$1.5K–$5K,"""online club Spanish"" OR ""LatAm adult platform .online"" OR """Puticlub""" companion""","""Spanish adult online brand"" OR ""Latino digital platform expand"" OR """puticlub online"""
Putero.online,$1.5K–$5K,"""online adult platform Spanish"" OR """Putero""" online brand"" OR ""LatAm .online domain""","""Spanish male platform online"" OR ""adult .online Latino"" OR """putero online"""
LosAngelesHispanic.com,$2K–$6K,"""Los Angeles Hispanic platform"" OR ""LA Latino media"" OR ""Los Angeles Spanish company""","""Southern California Hispanic"" OR ""LA Hispanic business"" OR ""Los Angeles Latino startup"""
LAhispano.org,$1K–$3K,"""LA Hispanic nonprofit"" OR ""Latino community organization LA"" OR ""Hispanic advocacy LA""",""'hispano'"" Los Angeles"" OR ""LA Hispanic community org"" OR ""Latino nonprofit California"""
LAhispano.net,$500–$2K,"""LA Hispano network"" OR ""Latino community network LA"" OR ""Hispanic network .net""","""LA Hispanic online community"" OR """hispano""" digital network"" OR ""Latino web platform LA"""
LAXhispanic.com,$1K–$4K,"""LAX Hispanic"" OR ""Los Angeles airport Latino"" OR ""LA Hispanic startup""","""LAX Latino business"" OR ""Los Angeles Hispanic brand"" OR """LAX""" Hispanic platform"""
NoFailAi.com,$500–$2K,"""no fail AI platform"" OR """NoFailAi""" startup"" OR ""AI reliability company""","""no fail artificial intelligence"" OR """NoFail""" AI"" OR ""AI resilience platform"""
AGIsunrise.com,$100–$500,"""AGI startup"" OR ""artificial general intelligence company"" OR """AGI""" platform launch""","""AGI research company"" OR ""general AI startup funding"" OR ""AGI development company"""
Agizent.com,$100–$500,"""Agizent startup"" OR """Agizent""" company"" OR ""AI tech new brand""","""new AI company name launch"" OR """Agizent""" technology"" OR ""tech startup rebrand AI"""
Racita.com,$100–$500,"""Racita brand"" OR """Racita""" startup"" OR ""brandable domain ""Racita""""","""short brandable name startup"" OR """Racita""" tech"" OR """Racita""" platform launch"""
Puttey.com,$3K–$12K,"""putting app startup"" OR ""golf accessory brand"" OR """Puttey""" launch""","""golf training app"" OR ""putting aid brand"" OR """putt""" technology golf"""
LeanMeds.com,SOLD,"""weight loss GLP-1 telehealth"" OR ""compounded semaglutide platform""","""Lean Meds competitor"" OR ""GLP-1 direct to consumer"" OR ""weight loss medication startup"""
