Domain,Category,Est. Value,Priority,Notes
apuesto.ai,Betting/Spanish AI,$5K–$15K,★★★★★,"""I bet"" Spanish + AI — perfect for LatAm sportsbook AI brand"
automoviles.ai,Automotive/Spanish AI,$5K–$20K,★★★★★,"""Cars"" Spanish plural — companion to automoveis.ai, huge search volume"
automovil.ai,Automotive/Spanish AI,$3K–$15K,★★★★★,"""Car"" Spanish singular — shorter than automoviles.ai"
cerebrado.com,Brandable/Spanish,$2K–$8K,★★★★,"""Brainy"" Spanish — AI/tech brandable, premium feel"
hipotecahispana.com,Real Estate/Spanish,$2K–$10K,★★★★,"""Hispanic mortgage"" — perfect for Latino mortgage platform"
latinoabogado.com,Legal/Spanish,$2K–$10K,★★★★,"""Latino lawyer"" — companion to HispanoAbogado.com"
latinomedico.com,Medical/Spanish,$2K–$10K,★★★★,"""Latino doctor"" — Hispanic medical platform brand"
pagacasa.com,Real Estate/Spanish,$2K–$8K,★★★★,"""Pay house"" — real estate payments, clear action domain"
divorcereadykit.com,Legal/Consumer,$2K–$8K,★★★★,"""Divorce ready kit"" — legal tech consumer product"
halfpricednames.com,Domain Industry,$3K–$10K,★★★★,"Domain reseller marketplace brand — industry use"
apuesto.casino,Betting/Spanish,$2K–$8K,★★★,"""I bet"" Spanish + casino — companion to apuesto.ai"
cavort.ai,Brandable/English,$3K–$8K,★★★,"Brandable English word — playful, premium feel on .ai"
vivemucho.com,Wellness/Spanish,$2K–$8K,★★★,"""Live a lot"" — wellness/lifestyle Spanish brand"
mypatientprep.com,Medical/English,$2K–$8K,★★★,"Patient preparation platform — medical SaaS"
miniterapia.com,Wellness/Spanish,$1K–$5K,★★★,"""Mini therapy"" — mental health Spanish micro-brand"
pagatucasa.com,Real Estate/Spanish,$1K–$5K,★★★,"""Pay your house"" — companion to pagacasa.com"
paguecasa.com,Real Estate/Spanish,$1K–$5K,★★★,"""Pay house"" variant — real estate payments"
adelgazacomiendograsa.com,Weight Loss/Spanish,$1K–$5K,★★★,"""Lose weight eating fat"" — keto Spanish, long but niche"
comprarcasita.com,Real Estate/Spanish,$1K–$5K,★★★,"""Buy little house"" — first-time homebuyer Spanish brand"
apuesto.ad,Betting/Spanish,$1K–$5K,★★★,"""I bet"" on .ad extension — niche"
apuesto.xyz,Betting/Spanish,$500–$3K,★★,"""I bet"" on .xyz — lower value extension"
tenlo.ai,Brandable/Spanish,$3K–$8K,★★★,"""Have it"" — action-oriented Spanish brand on .ai"
pootle.ai,Brandable/English,$1K–$5K,★★★,"Brandable English word .ai — quirky, memorable"
possibleagi.com,AI/Tech,$1K–$5K,★★★,"""Possible AGI"" — AI safety/speculation domain"
nomoreagi.com,AI/Tech,$500–$3K,★★,"""No more AGI"" — AI pause/safety advocacy domain"
sandbagai.com,AI/Tech,$500–$3K,★★,"""Sandbag AI"" — AI safety/testing domain"
poweraiready.com,AI/Tech,$500–$3K,★★,"""Power AI ready"" — infrastructure domain"
theaileadgenerator.com,AI/Tech,$1K–$5K,★★★,"Companion to theaicustomeracquisition.com — AI marketing"
aitopshelf.com,AI/Ecommerce,$1K–$4K,★★★,"Companion to aitopdeals.com — premium AI picks"
aitopshops.com,AI/Ecommerce,$1K–$4K,★★★,"AI top shops — ecommerce directory"
aitopstuff.com,AI/Ecommerce,$500–$3K,★★,"AI top stuff — general merchandise"
aitoptravel.com,AI/Travel,$1K–$5K,★★★,"AI top travel — travel recommendation AI"
aitoptrips.com,AI/Travel,$1K–$5K,★★★,"AI top trips — trip planning AI"
aiapp.bet,Betting/AI,$1K–$5K,★★★,"AI app bet — betting AI on .bet"
aiappbet.com,Betting/AI,$1K–$5K,★★★,"AI app bet .com — companion to aiapp.bet"
appai.bet,Betting/AI,$500–$3K,★★,"App AI bet — variant"
appaibet.com,Betting/AI,$500–$3K,★★,"App AI bet .com"
aikillswitch.org,AI Safety,$1K–$5K,★★★,"AI kill switch — safety advocacy .org"
aistopbutton.com,AI Safety,$1K–$5K,★★★,"AI stop button — safety consumer brand"
airedbutton.com,AI Safety,$500–$3K,★★,"AI red button — safety concept"
automoveis.ai,Automotive/Portuguese AI,$3K–$15K,★★★★,"""Cars"" Portuguese — Brazilian market, companion to automoviles.ai"
automovel.ai,Automotive/Portuguese AI,$2K–$10K,★★★★,"""Car"" Portuguese singular — shorter variant"
aseguranza.online,Insurance/Spanish,$500–$2K,★★,"Companion to aseguranza.ai — bundle with .ai"
nobreakai.com,DevOps,$500–$2K,★★,"Companion to nobreak.ai"
paretobuddy.app,Productivity,$500–$2K,★★,"Companion to paretobuddy.com — .app extension"
coldbeerportfolio.com,Spanish Beverage,$500–$2K,★★,"Portfolio landing page for beer domains"
birrafria.com,Spanish Beverage,$500–$3K,★★,"""Cold beer"" Spanish — cerveza portfolio"
cervefria.com,Spanish Beverage,$500–$3K,★★,"""Cold beer"" Spanish variant"
cervezahelada.com,Spanish Beverage,$500–$3K,★★,"""Cold beer"" Spanish — descriptive"
chelafria.com,Spanish Beverage,$500–$3K,★★,"""Cold beer"" Mexican slang"
chevefria.com,Spanish Beverage,$500–$3K,★★,"""Cold beer"" Mexican slang variant"
umagelada.com,Spanish Beverage,$500–$3K,★★,"""One cold one"" — Spanish beer brand"
amomota.com,Cannabis/Spanish,$500–$3K,★★,"""I love weed"" Spanish — cannabis brand"
haymota.com,Cannabis/Spanish,$500–$3K,★★,"""There's weed"" Spanish — cannabis"
quieromota.com,Cannabis/Spanish,$500–$3K,★★,"""I want weed"" Spanish — cannabis"
mexmota.com,Cannabis/Spanish,$500–$4K,★★★,"""Mexican weed"" — cannabis brand"
mexicannabico.com,Cannabis/Spanish,$500–$4K,★★★,"""Mexican cannabis"" — more formal cannabis domain"
comodejardebeber.com,Health/Spanish,$500–$3K,★★,"""How to stop drinking"" Spanish — alcohol recovery"
parardebeber.com,Health/Spanish,$500–$3K,★★,"""Stop drinking"" Spanish — shorter variant"
cancelarsuscripciones.com,Tech/Spanish,$500–$3K,★★,"""Cancel subscriptions"" Spanish — consumer SaaS"
bajaturenta.com,Real Estate/Spanish,$500–$3K,★★,"""Lower your rent"" Spanish — real estate"
ganalana.com,Gambling/Spanish,$500–$3K,★★,"""Win money"" Spanish — gambling brand"
teapuesto.bet,Betting/Spanish,$500–$3K,★★,"""I bet you"" Spanish on .bet"
teapuesto.casino,Betting/Spanish,$500–$3K,★★,"""I bet you"" Spanish on .casino"
teapuesto.xyz,Betting/Spanish,$500–$2K,★★,"""I bet you"" on .xyz"
cdmx.bet,Betting/Spanish,$500–$3K,★★,"CDMX (Mexico City) betting"
cdmx.casino,Betting/Spanish,$500–$3K,★★,"CDMX casino"
cdmx.games,Betting/Spanish,$500–$3K,★★,"CDMX games"
gastropub.bet,Betting,$500–$2K,★,"Gastropub betting — niche"
gastropub.bid,Betting,$300–$1K,★,"Gastropub bid"
gastropub.casino,Betting,$500–$2K,★,"Gastropub casino"
gastropub.games,Betting,$500–$2K,★,"Gastropub games"
buentino.com,Brandable/Spanish,$500–$2K,★,"Spanish brandable — sounds premium"
desmadrito.com,Brandable/Spanish,$500–$2K,★,"""Little chaos"" — Spanish entertainment brand"
pontebuena.com,Brandable/Spanish,$500–$2K,★,"""Get good"" — Spanish lifestyle brand"
fierotumodo.com,Brandable/Spanish,$500–$2K,★,"""Fierce your way"" — Spanish fashion/attitude brand"
iatuya.com,Brandable/Spanish,$500–$2K,★,"""AI yours"" — Spanish AI brandable"
iapolitica.com,Brandable/Spanish,$500–$2K,★,"""AI politics"" — Spanish political tech"
comeplantas.com,Food/Spanish,$500–$2K,★,"""Eat plants"" — Spanish plant-based food brand"
carboingratos.com,Food/Spanish,$500–$2K,★,"""Ungrateful carbs"" — Spanish diet/keto brand"
topaiguys.com,AI/Tech,$500–$3K,★★,"""Top AI guys"" — AI directory/community"
topguys.net,AI/Tech,$500–$2K,★,"""Top guys"" on .net — lower value"
topshelfer.com,Brandable/English,$500–$2K,★,"""Top shelfer"" — premium picks brand"
fieldlogbook.com,Enterprise/Mobile,$500–$3K,★★,"Field log book — mobile workforce"
fieldworkorder.com,Enterprise/Mobile,$500–$3K,★★,"Field work order — enterprise mobile"
mobileworklog.com,Enterprise/Mobile,$500–$2K,★,"Mobile work log — workforce"
photologbook.com,Enterprise/Mobile,$500–$2K,★,"Photo log book — visual documentation"
ordendetrabajo.com,Enterprise/Spanish,$500–$2K,★,"""Work order"" Spanish — field services Spanish"
fotobitacora.com,Enterprise/Spanish,$500–$2K,★,"""Photo log"" Spanish — visual documentation"
humanoreal.com,Tech/Spanish,$500–$2K,★,"""Real human"" — anti-AI/verification domain"
humanoscomoservicio.com,Tech/Spanish,$500–$2K,★,"""Humans as a service"" — long but provocative"
pruebadehumanidad.com,Tech/Spanish,$500–$2K,★,"""Humanity test"" — AI verification/turing test Spanish"
rentahumanos.com,Tech/Spanish,$500–$3K,★★,"""Rent humans"" — gig economy/platform Spanish"
rentapersona.com,Tech/Spanish,$500–$3K,★★,"""Rent person"" — gig economy Spanish"
juanlauro.com,Personal,$300–$1K,★,"Personal name domain"
fuxiaballerinas-qro.com,Commercial,$100–$300,★,"Specific product domain — very niche"
onegal.net,Personal/Generic,$200–$500,★,"""One gal"" on .net"
oneguy.org,Personal/Generic,$200–$500,★,"""One guy"" on .org"
fightrenthike.com,Real Estate/English,$500–$3K,★★,"""Fight rent hike"" — tenant advocacy"
quitesuacasa.com,Real Estate/Spanish,$500–$3K,★★,"""Take your house"" — real estate Spanish"
suacasapaga.com,Real Estate/Spanish,$500–$3K,★★,"""Your house pays"" — reverse mortgage Spanish"
paguesuacasa.com,Real Estate/Spanish,$500–$3K,★★,"""Pay your house"" formal Spanish"
paguesucasa.com,Real Estate/Spanish,$500–$3K,★★,"""Pay your house"" Spanish variant"
